word	stem	suffix	expected_phones	actual_phones	class	altered_phone	subfamily
picketing	picket	ing	p IH k IH t IH NG	p IH k AH t IH NG	mutation	AH	
placer	place	er	p l EY s ER	p l AE s ER	mutation	AE	
placidly	placid	ly	p l AE s AH d l IY	p l AE s IH d l IY	mutation	IH	
planer	plan	er	p l AE n ER	p l EY n ER	mutation	EY	
playfully	playful	ly	p l EY f AH l l IY	p l EY f AH l IY	elision	l	degemination
poorest	poor	est	p UW r AH s t	p UW r IH s t	mutation	IH	
potentially	potential	ly	p AH t EH n SH AH l l IY	p AH t EH n SH AH l IY	elision	l	degemination
precariously	precarious	ly	p r IY k EH r IY AH s l IY	p r IH k EH r IY AH s l IY	mutation	IH	
preceding	precede	ing	p r IH s IY d IH NG	p r IY s IY d IH NG	mutation	IY	
precipitating	precipitate	ing	p r IH s IH p IH t EY t IH NG	p r IH s IH p AH t EY t IH NG	mutation	AH	
preparedness	prepared	ness	p r IY p EH r d n AH s	p r IY p EH r AH d n AH s	insertion	AH	
preserver	preserve	er	p r AH z ER v ER	p r IY z ER v ER	mutation	IY	
priming	prim	ing	p r IH m IH NG	p r AY m IH NG	mutation	AY	
professionally	professional	ly	p r AH f EH SH AH n AH l l IY	p r AH f EH SH AH n AH l IY	elision	l	degemination
progressing	progress	ing	p r AA g r EH s IH NG	p r AH g r EH s IH NG	mutation	AH	
progressively	progressive	ly	p r AH g r EH s IH v l IY	p r AA g r EH s IH v l IY	mutation	AA	
projecting	project	ing	p r AA JH EH k t IH NG	p r AH JH EH k t IH NG	mutation	AH	
prolonging	prolong	ing	p r AH l AO NG IH NG	p r OW l AO NG IH NG	mutation	OW	
prosecuting	prosecute	ing	p r AA s AH k j UW t IH NG	p r AA s IH k j UW t IH NG	mutation	IH	
prospecting	prospect	ing	p r AA s p EH k t IH NG	p r AO s p EH k t IH NG	mutation	AO	
protesting	protest	ing	p r OW t EH s t IH NG	p r AH t EH s t IH NG	mutation	AH	
provisionally	provisional	ly	p r AH v IH ZH AH n AH l l IY	p r AH v IH ZH AH n AH l IY	elision	l	degemination
quantitatively	quantitative	ly	k w AA n t IH t EY t IH v l IY	k w AA n t IH t EY t AH v l IY	mutation	AH	
quarreling	quarrel	ing	k w AO r AH l IH NG	k w AA r AH l IH NG	mutation	AA	
quickest	quick	est	k w IH k AH s t	k w IH k IH s t	mutation	IH	
raiser	rais	er	r EY s ER	r EY z ER	mutation	z	voicing-sz
raising	rais	ing	r EY s IH NG	r EY z IH NG	mutation	z	voicing-sz
rambling	ramble	ing	r AE m b AH l IH NG	r AE m b l IH NG	elision	AH	
rationally	rational	ly	r AE SH AH n AH l l IY	r AE SH AH n AH l IY	elision	l	degemination
rattling	rattle	ing	r AE t AH l IH NG	r AE t l IH NG	elision	AH	
reader	read	er	r EH d ER	r IY d ER	mutation	IY	
reading	read	ing	r EH d IH NG	r IY d IH NG	mutation	IY	
recalling	recall	ing	r IY k AO l IH NG	r IH k AO l IH NG	mutation	IH	
